sepal.length,sepal.width,variety
5.1,3.5,Setosa
4.9,3,Setosa
4.7,3.2,Setosa
4.6,3.1,Setosa
5,3.6,Setosa
5.4,3.9,Setosa
4.6,3.4,Setosa
5,3.4,Setosa
4.4,2.9,Setosa
4.9,3.1,Setosa
5.4,3.7,Setosa
4.8,3.4,Setosa
4.8,3,Setosa
4.3,3,Setosa
5.8,4,Setosa
5.7,4.4,Setosa
5.4,3.9,Setosa
5.1,3.5,Setosa
5.7,3.8,Setosa
5.1,3.8,Setosa
5.4,3.4,Setosa
5.1,3.7,Setosa
4.6,3.6,Setosa
5.1,3.3,Setosa
4.8,3.4,Setosa
5,3,Setosa
5,3.4,Setosa
5.2,3.5,Setosa
5.2,3.4,Setosa
4.7,3.2,Setosa
4.8,3.1,Setosa
5.4,3.4,Setosa
5.2,4.1,Setosa
5.5,4.2,Setosa
4.9,3.1,Setosa
5,3.2,Setosa
5.5,3.5,Setosa
4.9,3.6,Setosa
4.4,3,Setosa
5.1,3.4,Setosa
5,3.5,Setosa
4.5,2.3,Setosa
4.4,3.2,Setosa
5,3.5,Setosa
5.1,3.8,Setosa
4.8,3,Setosa
5.1,3.8,Setosa
4.6,3.2,Setosa
5.3,3.7,Setosa
5,3.3,Setosa
7,3.2,Versicolor
6.4,3.2,Versicolor
6.9,3.1,Versicolor
5.5,2.3,Versicolor
6.5,2.8,Versicolor
5.7,2.8,Versicolor
6.3,3.3,Versicolor
4.9,2.4,Versicolor
6.6,2.9,Versicolor
5.2,2.7,Versicolor
5,2,Versicolor
5.9,3,Versicolor
6,2.2,Versicolor
6.1,2.9,Versicolor
5.6,2.9,Versicolor
6.7,3.1,Versicolor
5.6,3,Versicolor
5.8,2.7,Versicolor
6.2,2.2,Versicolor
5.6,2.5,Versicolor
5.9,3.2,Versicolor
6.1,2.8,Versicolor
6.3,2.5,Versicolor
6.1,2.8,Versicolor
6.4,2.9,Versicolor
6.6,3,Versicolor
6.8,2.8,Versicolor
6.7,3,Versicolor
6,2.9,Versicolor
5.7,2.6,Versicolor
5.5,2.4,Versicolor
5.5,2.4,Versicolor
5.8,2.7,Versicolor
6,2.7,Versicolor
5.4,3,Versicolor
6,3.4,Versicolor
6.7,3.1,Versicolor
6.3,2.3,Versicolor
5.6,3,Versicolor
5.5,2.5,Versicolor
5.5,2.6,Versicolor
6.1,3,Versicolor
5.8,2.6,Versicolor
5,2.3,Versicolor
5.6,2.7,Versicolor
5.7,3,Versicolor
5.7,2.9,Versicolor
6.2,2.9,Versicolor
5.1,2.5,Versicolor
5.7,2.8,Versicolor
